rollrange,pitchrange,yawrange,rollspeedrange,pitchspeedrange,yawspeedrange,airspeedrange,throttlerange,climbrange,phase,distance meaning,GPS_status,Gyro_status,Accel_status,Baro_status
roll between -0.081 and 0.05,pitch between -0.07 and 0.05,yaw between -2.36 and -2.33,rollspeed between -1.49 and 1.61,pitchspeed between -0.05 and 0.04,yawspeed between -0.023 and 0.071,airspeed between 0 and 6.1,throttle between 0 and 38,climb between -1.18 and 0.163,LANDING,no change,1,1,1,1
roll between -0.081 and 0.05,pitch between -0.07 and 0.05,yaw between -2.36 and -2.33,rollspeed between -1.49 and 1.61,pitchspeed between -0.05 and 0.04,yawspeed between -0.023 and 0.071,airspeed between 0 and 6.1,throttle between 0 and 38,climb between -1.18 and 0.163,LANDING,no change,1,1,1,1
roll between -0.081 and 0.05,pitch between -0.07 and 0.05,yaw between -2.36 and -2.33,rollspeed between -1.49 and 1.61,pitchspeed between -0.05 and 0.04,yawspeed between -0.023 and 0.071,airspeed between 0 and 6.1,throttle between 0 and 38,climb between -1.18 and 0.163,LANDING,nearer,1,1,1,1
roll between -0.081 and 0.05,pitch between -0.07 and 0.05,yaw between -2.36 and -2.33,rollspeed between -1.49 and 1.61,pitchspeed between -0.05 and 0.04,yawspeed between -0.023 and 0.071,airspeed between 0 and 6.1,throttle between 0 and 38,climb between -1.18 and 0.163,LANDING,nearer,1,1,1,1
roll between -0.081 and 0.05,pitch between -0.07 and 0.05,yaw between -2.36 and -2.33,rollspeed between -1.49 and 1.61,pitchspeed between -0.05 and 0.04,yawspeed between -0.023 and 0.071,airspeed between 0 and 6.1,throttle between 0 and 38,climb between -1.18 and 0.163,LANDING,no change,1,1,1,1
roll between -0.081 and 0.05,pitch between -0.07 and 0.05,yaw between -2.36 and -2.33,rollspeed between -1.49 and 1.61,pitchspeed between -0.05 and 0.04,yawspeed between -0.023 and 0.071,airspeed between 0 and 6.1,throttle between 0 and 38,climb between -1.18 and 0.163,LANDING,no change,1,1,1,1
roll between -0.081 and 0.05,pitch between -0.07 and 0.05,yaw between -2.36 and -2.33,rollspeed between -1.49 and 1.61,pitchspeed between -0.05 and 0.04,yawspeed between -0.023 and 0.071,airspeed between 0 and 6.1,throttle between 0 and 38,climb between -1.18 and 0.163,LANDING,no change,1,1,1,1
roll between -0.081 and 0.05,pitch between -0.07 and 0.05,yaw between -2.36 and -2.33,rollspeed between -1.49 and 1.61,pitchspeed between -0.05 and 0.04,yawspeed between -0.023 and 0.071,airspeed between 0 and 6.1,throttle between 0 and 38,climb between -1.18 and 0.163,LANDING,nearer,1,1,1,1
roll between -0.081 and 0.05,pitch between -0.07 and 0.05,yaw between -2.36 and -2.33,rollspeed between -1.49 and 1.61,pitchspeed between -0.05 and 0.04,yawspeed between -0.023 and 0.071,airspeed between 0 and 6.1,throttle between 0 and 38,climb between -1.18 and 0.163,LANDING,nearer,1,1,1,1
roll between -0.081 and 0.05,pitch between -0.07 and 0.05,yaw between -2.36 and -2.33,rollspeed between -1.49 and 1.61,pitchspeed between -0.05 and 0.04,yawspeed between -0.023 and 0.071,airspeed between 0 and 6.1,throttle between 0 and 38,climb between -1.18 and 0.163,LANDING,no change,1,1,1,1
roll between -0.081 and 0.05,pitch between -0.07 and 0.05,yaw between -2.36 and -2.33,rollspeed between -1.49 and 1.61,pitchspeed between -0.05 and 0.04,yawspeed between -0.023 and 0.071,airspeed between 0 and 6.1,throttle between 0 and 38,climb between -1.18 and 0.163,LANDING,no change,1,1,1,1
roll between -0.081 and 0.05,pitch between -0.07 and 0.05,yaw between -2.36 and -2.33,rollspeed between -1.49 and 1.61,pitchspeed between -0.05 and 0.04,yawspeed between -0.023 and 0.071,airspeed between 0 and 6.1,throttle between 0 and 38,climb between -1.18 and 0.163,LANDING,no change,1,1,1,1
roll between -0.081 and 0.05,pitch between -0.07 and 0.05,yaw between -2.36 and -2.33,rollspeed between -1.49 and 1.61,pitchspeed between -0.05 and 0.04,yawspeed between -0.023 and 0.071,airspeed between 0 and 6.1,throttle between 0 and 38,climb between -1.18 and 0.163,LANDING,nearer,1,1,1,1
roll between -0.081 and 0.05,pitch between -0.07 and 0.05,yaw between -2.36 and -2.33,rollspeed between -1.49 and 1.61,pitchspeed between -0.05 and 0.04,yawspeed between -0.023 and 0.071,airspeed between 0 and 6.1,throttle between 0 and 38,climb between -1.18 and 0.163,LANDING,nearer,1,1,1,1
roll between -0.081 and 0.05,pitch between -0.07 and 0.05,yaw between -2.36 and -2.33,rollspeed between -1.49 and 1.61,pitchspeed between -0.05 and 0.04,yawspeed between -0.023 and 0.071,airspeed between 0 and 6.1,throttle between 0 and 38,climb between -1.18 and 0.163,LANDING,no change,1,1,1,1
roll between -0.081 and 0.05,pitch between -0.07 and 0.05,yaw between -2.36 and -2.33,rollspeed between -1.49 and 1.61,pitchspeed between -0.05 and 0.04,yawspeed between -0.023 and 0.071,airspeed between 0 and 6.1,throttle between 0 and 38,climb between -1.18 and 0.163,LANDING,no change,1,1,1,1
roll between -0.081 and 0.05,pitch between -0.07 and 0.05,yaw between -2.36 and -2.33,rollspeed between -1.49 and 1.61,pitchspeed between -0.05 and 0.04,yawspeed between -0.023 and 0.071,airspeed between 0 and 6.1,throttle between 0 and 38,climb between -1.18 and 0.163,LANDING,no change,1,1,1,1
roll between -0.081 and 0.05,pitch between -0.07 and 0.05,yaw between -2.36 and -2.33,rollspeed between -1.49 and 1.61,pitchspeed between -0.05 and 0.04,yawspeed between -0.023 and 0.071,airspeed between 0 and 6.1,throttle between 0 and 38,climb between -1.18 and 0.163,LANDING,nearer,1,1,1,1
roll between -0.081 and 0.05,pitch between -0.07 and 0.05,yaw between -2.36 and -2.33,rollspeed between -1.49 and 1.61,pitchspeed between -0.05 and 0.04,yawspeed between -0.023 and 0.071,airspeed between 0 and 6.1,throttle between 0 and 38,climb between -1.18 and 0.163,LANDING,nearer,1,1,1,1
roll between -0.081 and 0.05,pitch between -0.07 and 0.05,yaw between -2.36 and -2.33,rollspeed between -1.49 and 1.61,pitchspeed between -0.05 and 0.04,yawspeed between -0.023 and 0.071,airspeed between 0 and 6.1,throttle between 0 and 38,climb between -1.18 and 0.163,LANDING,no change,1,1,1,1
roll between -0.081 and 0.05,pitch between -0.07 and 0.05,yaw between -2.36 and -2.33,rollspeed between -1.49 and 1.61,pitchspeed between -0.05 and 0.04,yawspeed between -0.023 and 0.071,airspeed between 0 and 6.1,throttle between 0 and 38,climb between -1.18 and 0.163,LANDING,no change,1,1,1,1
roll between -0.081 and 0.05,pitch between -0.07 and 0.05,yaw between -2.36 and -2.33,rollspeed between -1.49 and 1.61,pitchspeed between -0.05 and 0.04,yawspeed between -0.023 and 0.071,airspeed between 0 and 6.1,throttle between 0 and 38,climb between -1.18 and 0.163,LANDING,no change,1,1,1,1
roll between -0.081 and 0.05,pitch between -0.07 and 0.05,yaw between -2.36 and -2.33,rollspeed between -1.49 and 1.61,pitchspeed between -0.05 and 0.04,yawspeed between -0.023 and 0.071,airspeed between 0 and 6.1,throttle between 0 and 38,climb between -1.18 and 0.163,LANDING,nearer,1,1,1,1
roll between -0.081 and 0.05,pitch between -0.07 and 0.05,yaw between -2.36 and -2.33,rollspeed between -1.49 and 1.61,pitchspeed between -0.05 and 0.04,yawspeed between -0.023 and 0.071,airspeed between 0 and 6.1,throttle between 0 and 38,climb between -1.18 and 0.163,LANDING,nearer,1,1,1,1
roll between -0.081 and 0.05,pitch between -0.07 and 0.05,yaw between -2.36 and -2.33,rollspeed between -1.49 and 1.61,pitchspeed between -0.05 and 0.04,yawspeed between -0.023 and 0.071,airspeed between 0 and 6.1,throttle between 0 and 38,climb between -1.18 and 0.163,LANDING,no change,1,1,1,1
roll between -0.081 and 0.05,pitch between -0.07 and 0.05,yaw between -2.36 and -2.33,rollspeed between -1.49 and 1.61,pitchspeed between -0.05 and 0.04,yawspeed between -0.023 and 0.071,airspeed between 0 and 6.1,throttle between 0 and 38,climb between -1.18 and 0.163,LANDING,no change,1,1,1,1
roll between -0.081 and 0.05,pitch between -0.07 and 0.05,yaw between -2.36 and -2.33,rollspeed between -1.49 and 1.61,pitchspeed between -0.05 and 0.04,yawspeed between -0.023 and 0.071,airspeed between 0 and 6.1,throttle between 0 and 38,climb between -1.18 and 0.163,LANDING,no change,1,1,1,1
roll between -0.081 and 0.05,pitch between -0.07 and 0.05,yaw between -2.36 and -2.33,rollspeed between -1.49 and 1.61,pitchspeed between -0.05 and 0.04,yawspeed between -0.023 and 0.071,airspeed between 0 and 6.1,throttle between 0 and 38,climb between -1.18 and 0.163,LANDING,nearer,1,1,1,1
roll between -0.081 and 0.05,pitch between -0.07 and 0.05,yaw between -2.36 and -2.33,rollspeed between -1.49 and 1.61,pitchspeed between -0.05 and 0.04,yawspeed between -0.023 and 0.071,airspeed between 0 and 6.1,throttle between 0 and 38,climb between -1.18 and 0.163,LANDING,nearer,1,1,1,1
roll between -0.081 and 0.05,pitch between -0.07 and 0.05,yaw between -2.36 and -2.33,rollspeed between -1.49 and 1.61,pitchspeed between -0.05 and 0.04,yawspeed between -0.023 and 0.071,airspeed between 0 and 6.1,throttle between 0 and 38,climb between -1.18 and 0.163,LANDING,no change,1,1,1,1
roll between -0.081 and 0.05,pitch between -0.07 and 0.05,yaw between -2.36 and -2.33,rollspeed between -1.49 and 1.61,pitchspeed between -0.05 and 0.04,yawspeed between -0.023 and 0.071,airspeed between 0 and 6.1,throttle between 0 and 38,climb between -1.18 and 0.163,LANDING,no change,1,1,1,1
roll between -0.081 and 0.05,pitch between -0.07 and 0.05,yaw between -2.36 and -2.33,rollspeed between -1.49 and 1.61,pitchspeed between -0.05 and 0.04,yawspeed between -0.023 and 0.071,airspeed between 0 and 6.1,throttle between 0 and 38,climb between -1.18 and 0.163,LANDING,no change,1,1,1,1
roll between -0.081 and 0.05,pitch between -0.07 and 0.05,yaw between -2.36 and -2.33,rollspeed between -1.49 and 1.61,pitchspeed between -0.05 and 0.04,yawspeed between -0.023 and 0.071,airspeed between 0 and 6.1,throttle between 0 and 38,climb between -1.18 and 0.163,LANDING,nearer,1,1,1,1
roll between -0.081 and 0.05,pitch between -0.07 and 0.05,yaw between -2.36 and -2.33,rollspeed between -1.49 and 1.61,pitchspeed between -0.05 and 0.04,yawspeed between -0.023 and 0.071,airspeed between 0 and 6.1,throttle between 0 and 38,climb between -1.18 and 0.163,LANDING,nearer,1,1,1,1
roll between -0.081 and 0.05,pitch between -0.07 and 0.05,yaw between -2.36 and -2.33,rollspeed between -1.49 and 1.61,pitchspeed between -0.05 and 0.04,yawspeed between -0.023 and 0.071,airspeed between 0 and 6.1,throttle between 0 and 38,climb between -1.18 and 0.163,LANDING,no change,1,1,1,1
roll between -0.081 and 0.05,pitch between -0.07 and 0.05,yaw between -2.36 and -2.33,rollspeed between -1.49 and 1.61,pitchspeed between -0.05 and 0.04,yawspeed between -0.023 and 0.071,airspeed between 0 and 6.1,throttle between 0 and 38,climb between -1.18 and 0.163,LANDING,no change,1,1,1,1
roll between -0.081 and 0.05,pitch between -0.07 and 0.05,yaw between -2.36 and -2.33,rollspeed between -1.49 and 1.61,pitchspeed between -0.05 and 0.04,yawspeed between -0.023 and 0.071,airspeed between 0 and 6.1,throttle between 0 and 38,climb between -1.18 and 0.163,LANDING,no change,1,1,1,1
roll between -0.081 and 0.05,pitch between -0.07 and 0.05,yaw between -2.36 and -2.33,rollspeed between -1.49 and 1.61,pitchspeed between -0.05 and 0.04,yawspeed between -0.023 and 0.071,airspeed between 0 and 6.1,throttle between 0 and 38,climb between -1.18 and 0.163,LANDING,nearer,1,1,1,1
roll between -0.081 and 0.05,pitch between -0.07 and 0.05,yaw between -2.36 and -2.33,rollspeed between -1.49 and 1.61,pitchspeed between -0.05 and 0.04,yawspeed between -0.023 and 0.071,airspeed between 0 and 6.1,throttle between 0 and 38,climb between -1.18 and 0.163,LANDING,nearer,1,1,1,1
roll between -0.081 and 0.05,pitch between -0.07 and 0.05,yaw between -2.36 and -2.33,rollspeed between -1.49 and 1.61,pitchspeed between -0.05 and 0.04,yawspeed between -0.023 and 0.071,airspeed between 0 and 6.1,throttle between 0 and 38,climb between -1.18 and 0.163,LANDING,no change,1,1,1,1
roll between -0.081 and 0.05,pitch between -0.07 and 0.05,yaw between -2.36 and -2.33,rollspeed between -1.49 and 1.61,pitchspeed between -0.05 and 0.04,yawspeed between -0.023 and 0.071,airspeed between 0 and 6.1,throttle between 0 and 38,climb between -1.18 and 0.163,LANDING,no change,1,1,1,1
roll between -0.081 and 0.05,pitch between -0.07 and 0.05,yaw between -2.36 and -2.33,rollspeed between -1.49 and 1.61,pitchspeed between -0.05 and 0.04,yawspeed between -0.023 and 0.071,airspeed between 0 and 6.1,throttle between 0 and 38,climb between -1.18 and 0.163,LANDING,no change,1,1,1,1
roll between -0.081 and 0.05,pitch between -0.07 and 0.05,yaw between -2.36 and -2.33,rollspeed between -1.49 and 1.61,pitchspeed between -0.05 and 0.04,yawspeed between -0.023 and 0.071,airspeed between 0 and 6.1,throttle between 0 and 38,climb between -1.18 and 0.163,LANDING,nearer,1,1,1,1
roll between -0.081 and 0.05,pitch between -0.07 and 0.05,yaw between -2.36 and -2.33,rollspeed between -1.49 and 1.61,pitchspeed between -0.05 and 0.04,yawspeed between -0.023 and 0.071,airspeed between 0 and 6.1,throttle between 0 and 38,climb between -1.18 and 0.163,LANDING,nearer,1,1,1,1
roll between -0.081 and 0.05,pitch between -0.07 and 0.05,yaw between -2.36 and -2.33,rollspeed between -1.49 and 1.61,pitchspeed between -0.05 and 0.04,yawspeed between -0.023 and 0.071,airspeed between 0 and 6.1,throttle between 0 and 38,climb between -1.18 and 0.163,LANDING,no change,1,1,1,1
roll between -0.081 and 0.05,pitch between -0.07 and 0.05,yaw between -2.36 and -2.33,rollspeed between -1.49 and 1.61,pitchspeed between -0.05 and 0.04,yawspeed between -0.023 and 0.071,airspeed between 0 and 6.1,throttle between 0 and 38,climb between -1.18 and 0.163,LANDING,no change,1,1,1,1
roll between -0.081 and 0.05,pitch between -0.07 and 0.05,yaw between -2.36 and -2.33,rollspeed between -1.49 and 1.61,pitchspeed between -0.05 and 0.04,yawspeed between -0.023 and 0.071,airspeed between 0 and 6.1,throttle between 0 and 38,climb between -1.18 and 0.163,LANDING,no change,1,1,1,1
roll between -0.081 and 0.05,pitch between -0.07 and 0.05,yaw between -2.36 and -2.33,rollspeed between -1.49 and 1.61,pitchspeed between -0.05 and 0.04,yawspeed between -0.023 and 0.071,airspeed between 0 and 6.1,throttle between 0 and 38,climb between -1.18 and 0.163,LANDING,nearer,1,1,1,1
roll between -0.081 and 0.05,pitch between -0.07 and 0.05,yaw between -2.36 and -2.33,rollspeed between -1.49 and 1.61,pitchspeed between -0.05 and 0.04,yawspeed between -0.023 and 0.071,airspeed between 0 and 6.1,throttle between 0 and 38,climb between -1.18 and 0.163,LANDING,nearer,1,1,1,1
roll between -0.081 and 0.05,pitch between -0.07 and 0.05,yaw between -2.36 and -2.33,rollspeed between -1.49 and 1.61,pitchspeed between -0.05 and 0.04,yawspeed between -0.023 and 0.071,airspeed between 0 and 6.1,throttle between 0 and 38,climb between -1.18 and 0.163,LANDING,no change,1,1,1,1
roll between -0.081 and 0.05,pitch between -0.07 and 0.05,yaw between -2.36 and -2.33,rollspeed between -1.49 and 1.61,pitchspeed between -0.05 and 0.04,yawspeed between -0.023 and 0.071,airspeed between 0 and 6.1,throttle between 0 and 38,climb between -1.18 and 0.163,LANDING,no change,1,1,1,1
roll between -0.081 and 0.05,pitch between -0.07 and 0.05,yaw between -2.36 and -2.33,rollspeed between -1.49 and 1.61,pitchspeed between -0.05 and 0.04,yawspeed between -0.023 and 0.071,airspeed between 0 and 6.1,throttle between 0 and 38,climb between -1.18 and 0.163,LANDING,no change,1,1,1,1
roll between -0.081 and 0.05,pitch between -0.07 and 0.05,yaw between -2.36 and -2.33,rollspeed between -1.49 and 1.61,pitchspeed between -0.05 and 0.04,yawspeed between -0.023 and 0.071,airspeed between 0 and 6.1,throttle between 0 and 38,climb between -1.18 and 0.163,LANDING,nearer,1,1,1,1
roll between -0.081 and 0.05,pitch between -0.07 and 0.05,yaw between -2.36 and -2.33,rollspeed between -1.49 and 1.61,pitchspeed between -0.05 and 0.04,yawspeed between -0.023 and 0.071,airspeed between 0 and 6.1,throttle between 0 and 38,climb between -1.18 and 0.163,LANDING,nearer,1,1,1,1
roll between -0.081 and 0.05,pitch between -0.07 and 0.05,yaw between -2.36 and -2.33,rollspeed between -1.49 and 1.61,pitchspeed between -0.05 and 0.04,yawspeed between -0.023 and 0.071,airspeed between 0 and 6.1,throttle between 0 and 38,climb between -1.18 and 0.163,LANDING,no change,1,1,1,1
roll between -0.081 and 0.05,pitch between -0.07 and 0.05,yaw between -2.36 and -2.33,rollspeed between -1.49 and 1.61,pitchspeed between -0.05 and 0.04,yawspeed between -0.023 and 0.071,airspeed between 0 and 6.1,throttle between 0 and 38,climb between -1.18 and 0.163,LANDING,no change,1,1,1,1
roll between -0.081 and 0.05,pitch between -0.07 and 0.05,yaw between -2.36 and -2.33,rollspeed between -1.49 and 1.61,pitchspeed between -0.05 and 0.04,yawspeed between -0.023 and 0.071,airspeed between 0 and 6.1,throttle between 0 and 38,climb between -1.18 and 0.163,LANDING,no change,1,1,1,1
roll between -0.081 and 0.05,pitch between -0.07 and 0.05,yaw between -2.36 and -2.33,rollspeed between -1.49 and 1.61,pitchspeed between -0.05 and 0.04,yawspeed between -0.023 and 0.071,airspeed between 0 and 6.1,throttle between 0 and 38,climb between -1.18 and 0.163,LANDING,nearer,1,1,1,1
roll between -0.081 and 0.05,pitch between -0.07 and 0.05,yaw between -2.36 and -2.33,rollspeed between -1.49 and 1.61,pitchspeed between -0.05 and 0.04,yawspeed between -0.023 and 0.071,airspeed between 0 and 6.1,throttle between 0 and 38,climb between -1.18 and 0.163,LANDING,nearer,1,1,1,1
roll between -0.081 and 0.05,pitch between -0.07 and 0.05,yaw between -2.36 and -2.33,rollspeed between -1.49 and 1.61,pitchspeed between -0.05 and 0.04,yawspeed between -0.023 and 0.071,airspeed between 0 and 6.1,throttle between 0 and 38,climb between -1.18 and 0.163,LANDING,no change,1,1,1,1
roll between -0.081 and 0.05,pitch between -0.07 and 0.05,yaw between -2.36 and -2.33,rollspeed between -1.49 and 1.61,pitchspeed between -0.05 and 0.04,yawspeed between -0.023 and 0.071,airspeed between 0 and 6.1,throttle between 0 and 38,climb between -1.18 and 0.163,LANDING,no change,1,1,1,1
roll between -0.081 and 0.05,pitch between -0.07 and 0.05,yaw between -2.36 and -2.33,rollspeed between -1.49 and 1.61,pitchspeed between -0.05 and 0.04,yawspeed between -0.023 and 0.071,airspeed between 0 and 6.1,throttle between 0 and 38,climb between -1.18 and 0.163,LANDING,no change,1,1,1,1
roll between -0.081 and 0.05,pitch between -0.07 and 0.05,yaw between -2.36 and -2.33,rollspeed between -1.49 and 1.61,pitchspeed between -0.05 and 0.04,yawspeed between -0.023 and 0.071,airspeed between 0 and 6.1,throttle between 0 and 38,climb between -1.18 and 0.163,LANDING,nearer,1,1,1,1
roll between -0.081 and 0.05,pitch between -0.07 and 0.05,yaw between -2.36 and -2.33,rollspeed between -1.49 and 1.61,pitchspeed between -0.05 and 0.04,yawspeed between -0.023 and 0.071,airspeed between 0 and 6.1,throttle between 0 and 38,climb between -1.18 and 0.163,LANDING,nearer,1,1,1,1
roll between -0.081 and 0.05,pitch between -0.07 and 0.05,yaw between -2.36 and -2.33,rollspeed between -1.49 and 1.61,pitchspeed between -0.05 and 0.04,yawspeed between -0.023 and 0.071,airspeed between 0 and 6.1,throttle between 0 and 38,climb between -1.18 and 0.163,LANDING,no change,1,1,1,1
roll between -0.081 and 0.05,pitch between -0.07 and 0.05,yaw between -2.36 and -2.33,rollspeed between -1.49 and 1.61,pitchspeed between -0.05 and 0.04,yawspeed between -0.023 and 0.071,airspeed between 0 and 6.1,throttle between 0 and 38,climb between -1.18 and 0.163,LANDING,no change,1,1,1,1
roll between -0.081 and 0.05,pitch between -0.07 and 0.05,yaw between -2.36 and -2.33,rollspeed between -1.49 and 1.61,pitchspeed between -0.05 and 0.04,yawspeed between -0.023 and 0.071,airspeed between 0 and 6.1,throttle between 0 and 38,climb between -1.18 and 0.163,LANDING,nearer,1,1,1,1
roll between -0.081 and 0.05,pitch between -0.07 and 0.05,yaw between -2.36 and -2.33,rollspeed between -1.49 and 1.61,pitchspeed between -0.05 and 0.04,yawspeed between -0.023 and 0.071,airspeed between 0 and 6.1,throttle between 0 and 38,climb between -1.18 and 0.163,LANDING,no change,1,1,1,1
roll between -0.081 and 0.05,pitch between -0.07 and 0.05,yaw between -2.36 and -2.33,rollspeed between -1.49 and 1.61,pitchspeed between -0.05 and 0.04,yawspeed between -0.023 and 0.071,airspeed between 0 and 6.1,throttle between 0 and 38,climb between -1.18 and 0.163,LANDING,further,1,1,1,1
roll between -0.081 and 0.05,pitch between -0.07 and 0.05,yaw between -2.36 and -2.33,rollspeed between -1.49 and 1.61,pitchspeed between -0.05 and 0.04,yawspeed between -0.023 and 0.071,airspeed between 0 and 6.1,throttle between 0 and 38,climb between -1.18 and 0.163,LANDING,no change,1,1,1,1
roll between -0.081 and 0.05,pitch between -0.07 and 0.05,yaw between -2.36 and -2.33,rollspeed between -1.49 and 1.61,pitchspeed between -0.05 and 0.04,yawspeed between -0.023 and 0.071,airspeed between 0 and 6.1,throttle between 0 and 38,climb between -1.18 and 0.163,LANDING,no change,1,1,1,1
roll between -0.081 and 0.05,pitch between -0.07 and 0.05,yaw between -2.36 and -2.33,rollspeed between -1.49 and 1.61,pitchspeed between -0.05 and 0.04,yawspeed between -0.023 and 0.071,airspeed between 0 and 6.1,throttle between 0 and 38,climb between -1.18 and 0.163,LANDING,further,1,1,1,1
roll between -0.081 and 0.05,pitch between -0.07 and 0.05,yaw between -2.36 and -2.33,rollspeed between -1.49 and 1.61,pitchspeed between -0.05 and 0.04,yawspeed between -0.023 and 0.071,airspeed between 0 and 6.1,throttle between 0 and 38,climb between -1.18 and 0.163,LANDING,no change,1,1,1,1
roll between -0.081 and 0.05,pitch between -0.07 and 0.05,yaw between -2.36 and -2.33,rollspeed between -1.49 and 1.61,pitchspeed between -0.05 and 0.04,yawspeed between -0.023 and 0.071,airspeed between 0 and 6.1,throttle between 0 and 38,climb between -1.18 and 0.163,LANDING,further,1,1,1,1
roll between -0.081 and 0.05,pitch between -0.07 and 0.05,yaw between -2.36 and -2.33,rollspeed between -1.49 and 1.61,pitchspeed between -0.05 and 0.04,yawspeed between -0.023 and 0.071,airspeed between 0 and 6.1,throttle between 0 and 38,climb between -1.18 and 0.163,LANDING,no change,1,1,1,1
roll between -0.081 and 0.05,pitch between -0.07 and 0.05,yaw between -2.36 and -2.33,rollspeed between -1.49 and 1.61,pitchspeed between -0.05 and 0.04,yawspeed between -0.023 and 0.071,airspeed between 0 and 6.1,throttle between 0 and 38,climb between -1.18 and 0.163,LANDING,no change,1,1,1,1
roll between -0.081 and 0.05,pitch between -0.07 and 0.05,yaw between -2.36 and -2.33,rollspeed between -1.49 and 1.61,pitchspeed between -0.05 and 0.04,yawspeed between -0.023 and 0.071,airspeed between 0 and 6.1,throttle between 0 and 38,climb between -1.18 and 0.163,LANDING,further,1,1,1,1
roll between -0.081 and 0.05,pitch between -0.07 and 0.05,yaw between -2.36 and -2.33,rollspeed between -1.49 and 1.61,pitchspeed between -0.05 and 0.04,yawspeed between -0.023 and 0.071,airspeed between 0 and 6.1,throttle between 0 and 38,climb between -1.18 and 0.163,LANDING,no change,1,1,1,1
roll between -0.081 and 0.05,pitch between -0.07 and 0.05,yaw between -2.36 and -2.33,rollspeed between -1.49 and 1.61,pitchspeed between -0.05 and 0.04,yawspeed between -0.023 and 0.071,airspeed between 0 and 6.1,throttle between 0 and 38,climb between -1.18 and 0.163,LANDING,further,1,1,1,1
roll between -0.081 and 0.05,pitch between -0.07 and 0.05,yaw between -2.36 and -2.33,rollspeed between -1.49 and 1.61,pitchspeed between -0.05 and 0.04,yawspeed between -0.023 and 0.071,airspeed between 0 and 6.1,throttle between 0 and 38,climb between -1.18 and 0.163,LANDING,no change,1,1,1,1
roll between -0.081 and 0.05,pitch between -0.07 and 0.05,yaw between -2.36 and -2.33,rollspeed between -1.49 and 1.61,pitchspeed between -0.05 and 0.04,yawspeed between -0.023 and 0.071,airspeed between 0 and 6.1,throttle between 0 and 38,climb between -1.18 and 0.163,LANDING,no change,1,1,1,1
roll between -0.081 and 0.05,pitch between -0.07 and 0.05,yaw between -2.36 and -2.33,rollspeed between -1.49 and 1.61,pitchspeed between -0.05 and 0.04,yawspeed between -0.023 and 0.071,airspeed between 0 and 6.1,throttle between 0 and 38,climb between -1.18 and 0.163,LANDING,nearer,1,1,1,1
roll between -0.081 and 0.05,pitch between -0.07 and 0.05,yaw between -2.36 and -2.33,rollspeed between -1.49 and 1.61,pitchspeed between -0.05 and 0.04,yawspeed between -0.023 and 0.071,airspeed between 0 and 6.1,throttle between 0 and 38,climb between -1.18 and 0.163,LANDING,no change,1,1,1,1
roll between -0.081 and 0.05,pitch between -0.07 and 0.05,yaw between -2.36 and -2.33,rollspeed between -1.49 and 1.61,pitchspeed between -0.05 and 0.04,yawspeed between -0.023 and 0.071,airspeed between 0 and 6.1,throttle between 0 and 38,climb between -1.18 and 0.163,LANDING,nearer,1,1,1,1
roll between -0.081 and 0.05,pitch between -0.07 and 0.05,yaw between -2.36 and -2.33,rollspeed between -1.49 and 1.61,pitchspeed between -0.05 and 0.04,yawspeed between -0.023 and 0.071,airspeed between 0 and 6.1,throttle between 0 and 38,climb between -1.18 and 0.163,LANDING,no change,1,1,1,1
roll between -0.081 and 0.05,pitch between -0.07 and 0.05,yaw between -2.36 and -2.33,rollspeed between -1.49 and 1.61,pitchspeed between -0.05 and 0.04,yawspeed between -0.023 and 0.071,airspeed between 0 and 6.1,throttle between 0 and 38,climb between -1.18 and 0.163,LANDING,no change,1,1,1,1
roll between -0.081 and 0.05,pitch between -0.07 and 0.05,yaw between -2.36 and -2.33,rollspeed between -1.49 and 1.61,pitchspeed between -0.05 and 0.04,yawspeed between -0.023 and 0.071,airspeed between 0 and 6.1,throttle between 0 and 38,climb between -1.18 and 0.163,LANDING,nearer,1,1,1,1
roll between -0.081 and 0.05,pitch between -0.07 and 0.05,yaw between -2.36 and -2.33,rollspeed between -1.49 and 1.61,pitchspeed between -0.05 and 0.04,yawspeed between -0.023 and 0.071,airspeed between 0 and 6.1,throttle between 0 and 38,climb between -1.18 and 0.163,LANDING,no change,1,1,1,1
roll between -0.081 and 0.05,pitch between -0.07 and 0.05,yaw between -2.36 and -2.33,rollspeed between -1.49 and 1.61,pitchspeed between -0.05 and 0.04,yawspeed between -0.023 and 0.071,airspeed between 0 and 6.1,throttle between 0 and 38,climb between -1.18 and 0.163,LANDING,nearer,1,1,1,1
roll between -0.081 and 0.05,pitch between -0.07 and 0.05,yaw between -2.36 and -2.33,rollspeed between -1.49 and 1.61,pitchspeed between -0.05 and 0.04,yawspeed between -0.023 and 0.071,airspeed between 0 and 6.1,throttle between 0 and 38,climb between -1.18 and 0.163,LANDING,no change,1,1,1,1
roll between -0.081 and 0.05,pitch between -0.07 and 0.05,yaw between -2.36 and -2.33,rollspeed between -1.49 and 1.61,pitchspeed between -0.05 and 0.04,yawspeed between -0.023 and 0.071,airspeed between 0 and 6.1,throttle between 0 and 38,climb between -1.18 and 0.163,LANDING,no change,1,1,1,1
